Model,Marka
Renault Symbol 1.5 dCi Joy,Renault
Renault Megane 1.5 dCi Privilege,Renault
Fiat Linea 1.3 Multijet Active Plus,Fiat
Ford Fiesta 1.4 TDCi Comfort,Ford
Fiat Palio 1.2 HL,Fiat
Renault Megane 1.4 Authentique,Renault
Renault R 19 1.6 Europa RNE,Renault
Citroen C3 1.2 PureTech Live,Citroen
Citroen C-Elysee 1.6 HDi Exclusive,Citroen
Tofaş Şahin S,Tofaş
Peugeot 308 1.6 HDi Premium,Peugeot
Fiat Palio 1.4 EL,Fiat
Volkswagen Scirocco 1.4 TSi GTS,Volkswagen
Skoda SuperB 1.6 TDI Style,Skoda
Fiat Linea 1.3 Multijet Active Plus,Fiat
Hyundai Getz 1.5 VGT HY KLM,Hyundai
Opel Corsa 1.3 CDTI Enjoy,Opel
Renault Clio 1.0 SCe Joy,Renault
Citroen C4 1.6 e-HDi Confort,Citroen
Tata Indica 1.4 Basic,Tata
Skoda Fabia 1.2 Classic,Skoda
Mercedes - Benz E 220 CDI Avantgarde,Mercedes - Benz
BMW 5 Serisi 520i Special Edition Luxury,BMW
Renault Symbol 1.5 dCi Joy,Renault
Fiat Egea 1.4 Fire Easy Plus,Fiat
Toyota Verso 1.6 Comfort Extra,Toyota
Seat Ibiza 1.2 TSI Style,Seat
Ford Fiesta 1.5 TDCi Trend,Ford
Audi A4 Sedan 1.4 TFSI,Audi
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Volkswagen Passat 2.0 TDi Comfortline,Volkswagen
Audi A3 Sportback 1.6 TDI Design Line,Audi
BMW 3 Serisi 320i ED M Plus,BMW
BMW 1 Serisi 118i M Plus,BMW
Hyundai Accent Blue 1.6 CRDI Mode,Hyundai
Citroen C-Elysee 1.6 HDi Exclusive,Citroen
Fiat Linea 1.4 Fire Active,Fiat
Mercedes - Benz C 180 AMG 9G-Tronic,Mercedes - Benz
Renault Clio 1.5 dCi Authentique,Renault
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz
Opel Vectra 2.0 GLS,Opel
Toyota Corolla 1.4 D-4D Comfort,Toyota
Opel Corsa 1.4 GLS,Opel
Peugeot 301 1.6 BlueHDI Allure,Peugeot
Toyota Corolla 1.6 XEi,Toyota
Tofaş Şahin 1.6,Tofaş
Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG,Mercedes - Benz
Mercedes - Benz E 350 CDI BlueEFFICIENCY Premium,Mercedes - Benz
Ford Focus 1.6 TDCi Style,Ford
Fiat Egea 1.6 E-Torq Lounge,Fiat
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Impression,Volkswagen
Fiat Egea 1.3 Multijet Easy,Fiat
Ford Mondeo 1.5 Titanium,Ford
Kia Rio 1.4 CRDi Natty,Kia
Hyundai i20 1.4 MPI Style,Hyundai
Toyota Corolla 1.6 XEi,Toyota
Toyota Verso 1.6 Premium,Toyota
Volkswagen Golf 1.6 FSi Goal,Volkswagen
Hyundai i10 1.0 D-CVVT Style,Hyundai
Ford Focus 1.5 TDCi Titanium,Ford
Peugeot 301 1.6 HDi Allure,Peugeot
Renault R 12 Toros,Renault
BMW 5 Serisi 525d xDrive M Sport,BMW
Renault Clio 1.4,Renault
Renault Clio 1.4 RNA,Renault
BMW 3 Serisi 316i M Sport,BMW
Volkswagen Jetta 1.2 TSi Comfortline,Volkswagen
Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG,Mercedes - Benz
BMW 3 Serisi 318i Joy,BMW
Mercedes - Benz C 180 BlueEFFICIENCY Selection Plus,Mercedes - Benz
Fiat Punto 1.3 Multijet Popstar,Fiat
Peugeot 308 1.6 BlueHdi Active,Peugeot
Hyundai i20 1.2 MPI Jump,Hyundai
Fiat Palio 1.3 Multijet Active,Fiat
Audi A5 Sportback 45 TFSI Quattro S Line,Audi
Opel Astra 1.6 CD,Opel
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen
Citroen C-Elysee 1.5 BlueHDi Feel,Citroen
Mercedes - Benz C 180 BlueEFFICIENCY AMG,Mercedes - Benz
Fiat Albea 1.2 EL,Fiat
Toyota Corolla 1.4 D-4D Touch,Toyota
Ford Focus 1.5 TDCi ST Line,Ford
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen
Renault Megane 1.5 dCi Icon,Renault
Renault Symbol 1.5 dCi Joy,Renault
Ford Focus 1.6 TDCi Trend X,Ford
Ford C-Max 1.6 TDCi Trend,Ford
Volkswagen Passat 2.0 FSi Comfortline,Volkswagen
Ford Focus 1.6 Ti-VCT Trend X,Ford
Audi A6 Sedan 2.0 TDI,Audi
Volkswagen Passat 1.4 TSi Exclusive,Volkswagen
Honda Civic 1.5 EX,Honda
DS Automobiles DS3 1.6 e-HDi DStyle,DS Automobiles
Renault Clio 1.0 TCe Touch,Renault
BMW 5 Serisi 525d xDrive Modern Line,BMW
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Mercedes - Benz E 200,Mercedes - Benz
Opel Corsa 1.4 Twinport Enjoy 111,Opel
Volkswagen Polo 1.4 Comfortline,Volkswagen
Renault R 12 Toros,Renault
Dacia Lodgy 1.5 dCi Laureate,Dacia
Mercedes - Benz C 180 Kompressor BlueEfficiency Fascination,Mercedes - Benz
Opel Corsa 1.4 Swing,Opel
Mercedes - Benz CLS 350 BlueEFFICIENCY,Mercedes - Benz
Renault Clio 1.5 dCi Expression,Renault
Mercedes - Benz C 180 AMG,Mercedes - Benz
Renault Symbol 1.5 dCi Authentique,Renault
Chevrolet Aveo 1.2 SE,Chevrolet
Renault Symbol 1.5 dCi Expression,Renault
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Hyundai Solaris 1.6 MPI,Hyundai
Chevrolet Aveo 1.4 LT,Chevrolet
Audi A4 Sedan 2.0 TDI Quattro,Audi
Fiat Siena 1.4 EL,Fiat
Mercedes - Benz C 180 AMG,Mercedes - Benz
Skoda SuperB 1.6 TDI Prestige,Skoda
Fiat Egea 1.6 Multijet Mirror,Fiat
Citroen C-Elysee 1.5 BlueHDi Feel,Citroen
Dacia Sandero 1.0 Tce Comfort,Dacia
Peugeot 301 1.5 BlueHDI Active,Peugeot
Hyundai Getz 1.4 DOHC Start,Hyundai
Ford Focus 1.5 TDCi Titanium,Ford
Volkswagen Scirocco 1.4 TSi Sportline,Volkswagen
Seat Altea 1.6 TDI Style XL,Seat
BMW 5 Serisi 520i Comfort,BMW
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz
Renault Megane 1.3 TCe Icon,Renault
Mercedes - Benz CLK 200 Kompressor Avantgarde,Mercedes - Benz
Porsche Panamera Diesel,Porsche
Volkswagen Golf 1.4 TSi Highline,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen
Volkswagen Polo 1.0 TSi Life,Volkswagen
Porsche Panamera Diesel,Porsche
Kia Rio 1.4 CRDi Concept Plus,Kia
Volkswagen Passat 1.6 Exclusive,Volkswagen
Volkswagen Polo 1.0 TSi Comfortline,Volkswagen
Fiat Punto 1.3 Multijet Lounge,Fiat
Renault Symbol 0.9 TCe Joy,Renault
Ford Fiesta 1.4 TDCi Titanium,Ford
Dacia Sandero 1.5 dCi Stepway,Dacia
Porsche Taycan Turbo S,Porsche
Mercedes - Benz A 180 d Progressive,Mercedes - Benz
Fiat Marea 1.6 ELX,Fiat
Renault Megane 1.5 dCi Touch,Renault
Opel Corsa 1.2 Enjoy,Opel
Chrysler Concorde 3.5,Chrysler
Toyota Corolla 1.6 Premium,Toyota
Dacia Sandero 1.5 dCi Stepway,Dacia
Ford Focus 1.0 EcoBoost Titanium Stil,Ford
Peugeot 301 1.6 BlueHDI Active,Peugeot
Opel Astra 1.6 Enjoy,Opel
BMW 5 Serisi 520i Premium,BMW
Volkswagen Passat 2.0 TDi BlueMotion Highline,Volkswagen
Opel Astra 1.6 Edition Plus,Opel
Fiat Linea 1.3 Multijet Active Plus,Fiat
Citroen C3 Picasso 1.6 e-HDi Confort,Citroen
Renault Megane 1.5 dCi Dynamique,Renault
Fiat Egea 1.4 Fire Urban Plus,Fiat
Audi A3 Sportback 1.6 Ambiente,Audi
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen
Volkswagen Passat 1.6 TDi BlueMotion Business,Volkswagen
Volkswagen Bora 1.6 Comfortline,Volkswagen
