Model,Marka,Temiz,Etiket
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Renault Megane 1.5 dCi Privilege,Renault,renault megane dci privilege,0
Fiat Linea 1.3 Multijet Active Plus,Fiat,fiat linea multijet active plus,1
Ford Fiesta 1.4 TDCi Comfort,Ford,ford fiesta tdci comfort,2
Fiat Palio 1.2 HL,Fiat,fiat palio hl,1
Renault Megane 1.4 Authentique,Renault,renault megane authentique,0
Renault R 19 1.6 Europa RNE,Renault,renault r europa rne,0
Citroen C3 1.2 PureTech Live,Citroen,citroen c puretech live,3
Citroen C-Elysee 1.6 HDi Exclusive,Citroen,citroen c elysee hdi exclusive,3
Tofaş Şahin S,Tofaş,tofaş şahin s,4
Peugeot 308 1.6 HDi Premium,Peugeot,peugeot hdi premium,5
Fiat Palio 1.4 EL,Fiat,fiat palio el,1
Volkswagen Scirocco 1.4 TSi GTS,Volkswagen,volkswagen scirocco tsi gts,6
Skoda SuperB 1.6 TDI Style,Skoda,skoda superb tdı style,7
Fiat Linea 1.3 Multijet Active Plus,Fiat,fiat linea multijet active plus,1
Hyundai Getz 1.5 VGT HY KLM,Hyundai,hyundai getz vgt hy klm,8
Opel Corsa 1.3 CDTI Enjoy,Opel,opel corsa cdtı enjoy,9
Renault Clio 1.0 SCe Joy,Renault,renault clio sce joy,0
Citroen C4 1.6 e-HDi Confort,Citroen,citroen c hdi confort,3
Tata Indica 1.4 Basic,Tata,tat ındica basic,10
Skoda Fabia 1.2 Classic,Skoda,skoda fabia classic,7
Mercedes - Benz E 220 CDI Avantgarde,Mercedes - Benz,mercedes benz cdı avantgarde,11
BMW 5 Serisi 520i Special Edition Luxury,BMW,bmw seri special edition luxury,12
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Fiat Egea 1.4 Fire Easy Plus,Fiat,fiat egea fire easy plus,1
Toyota Verso 1.6 Comfort Extra,Toyota,toyota verso comfort extra,13
Seat Ibiza 1.2 TSI Style,Seat,seat ıbiza tsı style,14
Ford Fiesta 1.5 TDCi Trend,Ford,ford fiesta tdci trend,2
Audi A4 Sedan 1.4 TFSI,Audi,audi seda tfsı,15
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Volkswagen Passat 2.0 TDi Comfortline,Volkswagen,volkswagen passat tdi comfortline,6
Audi A3 Sportback 1.6 TDI Design Line,Audi,audi sportback tdı design line,15
BMW 3 Serisi 320i ED M Plus,BMW,bmw seri ed m plus,12
BMW 1 Serisi 118i M Plus,BMW,bmw seri m plus,12
Hyundai Accent Blue 1.6 CRDI Mode,Hyundai,hyundai accent blue crdı mode,8
Citroen C-Elysee 1.6 HDi Exclusive,Citroen,citroen c elysee hdi exclusive,3
Fiat Linea 1.4 Fire Active,Fiat,fiat linea fire active,1
Mercedes - Benz C 180 AMG 9G-Tronic,Mercedes - Benz,mercedes benz c amg g tronic,11
Renault Clio 1.5 dCi Authentique,Renault,renault clio dci authentique,0
Mercedes - Benz C 200 d BlueTEC AMG,Mercedes - Benz,mercedes benz c d bluetec amg,11
Opel Vectra 2.0 GLS,Opel,opel vectra gls,9
Toyota Corolla 1.4 D-4D Comfort,Toyota,toyota corolla d d comfort,13
Opel Corsa 1.4 GLS,Opel,opel corsa gls,9
Peugeot 301 1.6 BlueHDI Allure,Peugeot,peugeot bluehdı allure,5
Toyota Corolla 1.6 XEi,Toyota,toyota corolla xei,13
Tofaş Şahin 1.6,Tofaş,tofaş şahin,4
Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG,Mercedes - Benz,mercedes benz c kompressor blueeffıcıency amg,11
Mercedes - Benz E 350 CDI BlueEFFICIENCY Premium,Mercedes - Benz,mercedes benz cdı blueeffıcıency premium,11
Ford Focus 1.6 TDCi Style,Ford,ford focus tdci style,2
Fiat Egea 1.6 E-Torq Lounge,Fiat,fiat egea torq lounge,1
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Volkswagen Passat 1.6 TDi BlueMotion Impression,Volkswagen,volkswagen passat tdi bluemotion ımpression,6
Fiat Egea 1.3 Multijet Easy,Fiat,fiat egea multijet easy,1
Ford Mondeo 1.5 Titanium,Ford,ford mondeo titanium,2
Kia Rio 1.4 CRDi Natty,Kia,kia rio crdi natty,16
Hyundai i20 1.4 MPI Style,Hyundai,hyundai mpı style,8
Toyota Corolla 1.6 XEi,Toyota,toyota corolla xei,13
Toyota Verso 1.6 Premium,Toyota,toyota verso premium,13
Volkswagen Golf 1.6 FSi Goal,Volkswagen,volkswagen golf fsi goal,6
Hyundai i10 1.0 D-CVVT Style,Hyundai,hyundai d cvvt style,8
Ford Focus 1.5 TDCi Titanium,Ford,ford focus tdci titanium,2
Peugeot 301 1.6 HDi Allure,Peugeot,peugeot hdi allure,5
Renault R 12 Toros,Renault,renault r toros,0
BMW 5 Serisi 525d xDrive M Sport,BMW,bmw seri d xdrive m sport,12
Renault Clio 1.4,Renault,renault clio,0
Renault Clio 1.4 RNA,Renault,renault clio rna,0
BMW 3 Serisi 316i M Sport,BMW,bmw seri m sport,12
Volkswagen Jetta 1.2 TSi Comfortline,Volkswagen,volkswagen jetta tsi comfortline,6
Mercedes - Benz C 180 Kompressor BlueEFFICIENCY AMG,Mercedes - Benz,mercedes benz c kompressor blueeffıcıency amg,11
BMW 3 Serisi 318i Joy,BMW,bmw seri joy,12
Mercedes - Benz C 180 BlueEFFICIENCY Selection Plus,Mercedes - Benz,mercedes benz c blueeffıcıency selection plus,11
Fiat Punto 1.3 Multijet Popstar,Fiat,fiat punto multijet popstar,1
Peugeot 308 1.6 BlueHdi Active,Peugeot,peugeot bluehdi active,5
Hyundai i20 1.2 MPI Jump,Hyundai,hyundai mpı jump,8
Fiat Palio 1.3 Multijet Active,Fiat,fiat palio multijet active,1
Audi A5 Sportback 45 TFSI Quattro S Line,Audi,audi sportback tfsı quattro s line,15
Opel Astra 1.6 CD,Opel,opel astra cd,9
Volkswagen Jetta 1.6 TDi Comfortline,Volkswagen,volkswagen jetta tdi comfortline,6
Citroen C-Elysee 1.5 BlueHDi Feel,Citroen,citroen c elysee bluehdi feel,3
Mercedes - Benz C 180 BlueEFFICIENCY AMG,Mercedes - Benz,mercedes benz c blueeffıcıency amg,11
Fiat Albea 1.2 EL,Fiat,fiat albea el,1
Toyota Corolla 1.4 D-4D Touch,Toyota,toyota corolla d d touch,13
Ford Focus 1.5 TDCi ST Line,Ford,ford focus tdci st line,2
Volkswagen Golf 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen golf tdi bluemotion comfortline,6
Renault Megane 1.5 dCi Icon,Renault,renault megane dci ıcon,0
Renault Symbol 1.5 dCi Joy,Renault,renault symbol dci joy,0
Ford Focus 1.6 TDCi Trend X,Ford,ford focus tdci trend x,2
Ford C-Max 1.6 TDCi Trend,Ford,ford c max tdci trend,2
Volkswagen Passat 2.0 FSi Comfortline,Volkswagen,volkswagen passat fsi comfortline,6
Ford Focus 1.6 Ti-VCT Trend X,Ford,ford focus ti vct trend x,2
Audi A6 Sedan 2.0 TDI,Audi,audi seda tdı,15
Volkswagen Passat 1.4 TSi Exclusive,Volkswagen,volkswagen passat tsi exclusive,6
Honda Civic 1.5 EX,Honda,honda civic ex,17
DS Automobiles DS3 1.6 e-HDi DStyle,DS Automobiles,ds automobiles ds hdi dstyle,18
Renault Clio 1.0 TCe Touch,Renault,renault clio tce touch,0
BMW 5 Serisi 525d xDrive Modern Line,BMW,bmw seri d xdrive modern line,12
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Mercedes - Benz E 200,Mercedes - Benz,mercedes benz,11
Opel Corsa 1.4 Twinport Enjoy 111,Opel,opel corsa twinport enjoy,9
Volkswagen Polo 1.4 Comfortline,Volkswagen,volkswagen polo comfortline,6
Renault R 12 Toros,Renault,renault r toros,0
Dacia Lodgy 1.5 dCi Laureate,Dacia,dacia lodgy dci laureate,19
Mercedes - Benz C 180 Kompressor BlueEfficiency Fascination,Mercedes - Benz,mercedes benz c kompressor blueefficiency fascination,11
Opel Corsa 1.4 Swing,Opel,opel corsa swing,9
Mercedes - Benz CLS 350 BlueEFFICIENCY,Mercedes - Benz,mercedes benz cls blueeffıcıency,11
Renault Clio 1.5 dCi Expression,Renault,renault clio dci expression,0
Mercedes - Benz C 180 AMG,Mercedes - Benz,mercedes benz c amg,11
Renault Symbol 1.5 dCi Authentique,Renault,renault symbol dci authentique,0
Chevrolet Aveo 1.2 SE,Chevrolet,chevrolet aveo se,20
Renault Symbol 1.5 dCi Expression,Renault,renault symbol dci expression,0
Volkswagen Passat 1.6 TDi BlueMotion Comfortline,Volkswagen,volkswagen passat tdi bluemotion comfortline,6
Hyundai Solaris 1.6 MPI,Hyundai,hyundai solaris mpı,8
Chevrolet Aveo 1.4 LT,Chevrolet,chevrolet aveo lt,20
Audi A4 Sedan 2.0 TDI Quattro,Audi,audi seda tdı quattro,15
Fiat Siena 1.4 EL,Fiat,fiat siena el,1
Mercedes - Benz C 180 AMG,Mercedes - Benz,mercedes benz c amg,11
Skoda SuperB 1.6 TDI Prestige,Skoda,skoda superb tdı prestige,7
